Smiles,Value
COc1cc2nc(N=C(O)CN3CCN(Cc4ccc(Cl)cc4)CC3)sc2cc1OC,130.0
NCCCCCCCCCN=c1c2c([nH]c3ccccc13)CCCC2,131.0
COc1cc(C2CC(=O)c3ccccc3O2)cc(OC)c1O,131.0
C[C@@H](c1cccc(OC(=O)N(C)[C@@H](C)Cc2ccccc2)c1)N(C)C,131.0
O=C1C(=Cc2ccc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)cc2)C(=O)c2ccccc21,131.0
Cc1ccc2[nH]c3c(c(=NCCN4CCOCC4)c2c1)CCCC3,131.0
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(CCSCCNC13CC4CC(C)(CC(C)(C4)C1)C3)C2,131.1
Oc1ccccc1CNCCCN=c1c2c([nH]c3ccccc13)CCCC2,131.13
O=c1c2cc(N=C(O)CN3CCCC3)ccc2nc2n1CCc1c-2[nH]c2ccccc12,131.2
CCCCC(=O)N1CCC2(Cc3cccc(C)c3)c3ccccc3N(Cc3cccc(C)c3)C12,132.0
CCOC(=O)c1c(C)nc(N2CCN(S(=O)(=O)c3ccc(N=C(C)O)cc3)CC2)nc1-c1ccc(OC)cc1,132.0
COc1cccc(CNCCOc2ccc3ccn(S(=O)(=O)c4ccccc4)c3c2)c1,132.0
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,132.0
CN1c2ccccc2C(NCCCCCCC(O)=NCCCCCCCN=c2c3c([nH]c4cc(Cl)ccc24)CCCC3)c2ccc(Cl)cc2S1(=O)=O,132.0
CCCCCCN=C(O)Oc1ccc2c(c1)C1(C)CCN(CC)C2C1,133.0
O=C(CCC1CCN(CC2CCCCC2)CC1)c1ccc2c(ccn2Cc2ccccc2)c1,133.0
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,133.0
O=c1cc(-c2ccccc2)oc2cc(OCCCN3CCN(CCCN=c4c5c([nH]c6ccccc46)CCCC5)CC3)cc(O)c12,133.0
O=C(COC(=O)c1ccc(O)c(O)c1)N=c1c2c([nH]c3ccccc13)CCCC2,133.0
O=C1c2cccc(N=C(O)Nc3cccc(-c4cn(CCN=c5c6c([nH]c7ccccc57)CCCC6)nn4)n3)c2C2CCCCN12,133.0
CC1=CC2Cc3[nH]c4cc(Cl)ccc4c(=NCCCCCCCCCN=c4c5c([nH]c6ccccc46)CCCC5)c3C(C1)C2,133.0
O=C(CN1CCN(CCCOc2ccc3ccc(=O)oc3c2)CC1)N=c1c2c([nH]c3ccccc13)CCCC2,133.0
CCN(CCCCCC=Nc1cc(O)c(NCCCCCCN(CC)Cc2cccnc2)cc1O)Cc1cccnc1,133.0
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc([N+](=O)[O-])cc1,133.6
c1cc(C[n+]2ccc(C3CCCCC3)cc2)cc(-c2cccc(C[n+]3ccc(C4CCCCC4)cc3)c2)c1,134.0
c1ccc(CN2CCN(CCCCNCc3cccnc3)CC2)cc1,134.0
O=C(c1cnn(C2CCCC2)c1)C(F)F,134.0
COc1cc(CCC(O)=NCCC(O)=NN=c2c3c([nH]c4ccccc24)CCCC3)cc(OC)c1OC,135.0
CCN(CC)C(=O)C1CCN(C(O)=Nc2cccc(Cn3[nH]c(=Nc4cccc(C(F)(F)F)c4)ccc3=O)c2)CC1,135.0
COc1ccc(/C=N/c2ccc3oc(=O)ccc3c2)cc1,135.0
OC(COc1ccc(CCc2ccccc2)cc1)=NCC1CCN(Cc2ccccc2)CC1,135.0
COc1ccccc1CNCCCCCC(=O)N1CCC(CCC2CCN(C(=O)CCCCCNCc3ccccc3OC)CC2)CC1,135.0
CC1=C(C(=O)OCCN(C)C)C(c2ccccc2)C2=C(N)C3=C(CCC(F)(F)C3)NC2=N1,136.0
c1ccc2nc3c(cc2c1)CCCC3,136.0
Cc1ccc(C[n+]2ccc(COc3ccc4c(C)cc(=O)oc4c3)cc2)cc1,136.0
Cc1nc(C)c(COc2ccc(/C=C/C(O)=NCCCCCCN=c3c4c([nH]c5ccccc35)CCCC4)cc2OCc2nc(C)c(C)nc2C)nc1C,136.0
O=c1c2cc(N=C(O)CCCc3ccccc3)ccc2nc2c3[nH]c4ccccc4c3ccn12,136.0
OC(COc1ccccc1C(F)(F)F)=NCCN1CCN(Cc2ccccc2)CC1,136.0
Fc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,136.0
C[N+]1(CCC(O)=Nc2ccc3nc4c5[nH]c6ccccc6c5ccn4c(=O)c3c2)CCCC1,137.0
